name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%,relation_batch,clarity_flag_batch,suggested_description_batch
Fotoprotector Fusion Water Magic Isdin,19994504,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,193,4.7565,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19994504_1/w=800,h=800,fit=pad",104.9,124.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19994504/Fotoprotector-Fusion-Water-Magic-Isdin/19994504,16.01281024819856,True,no,Descripción adecuada
Sombrilla De Playa Doo Australia Uv+30,883168280,DOO AUSTRALIA,Jardín y terraza,"Piscinas, spa e inflables",Toallas de Playa,2,3.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883168280_1/w=800,h=800,fit=pad",39.89,79.9,falabella,https://www.falabella.com.pe/falabella-pe/product/prod17892040/Sombrilla-De-Playa-Doo-Australia-Uv+30/883168280,50.075093867334175,False,no,Descripción adecuada
ISDIN Fotoprotector Fusion Water Color MEDIUM SPF50 50ML - Bloqueador solar facial con color Oil Control,16416899,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,1012,4.8399,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/16416899_1/w=800,h=800,fit=pad",104.9,124.9,falabella,https://www.falabella.com.pe/falabella-pe/product/16416899/ISDIN-Fotoprotector-Fusion-Water-Color-MEDIUM-SPF50-50ML-Bloqueador-solar-facial-con-color-Oil-Control/16416899,16.01281024819856,True,no,Descripción adecuada
ISDIN FotoUltra Age Repair SPF50 50ML - Bloqueador solar facial con triple acción antiedad,16416879,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,485,4.866,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/16416879_1/w=800,h=800,fit=pad",111.9,139.9,falabella,https://www.falabella.com.pe/falabella-pe/product/16416879/ISDIN-FotoUltra-Age-Repair-SPF50-50ML-Bloqueador-solar-facial-con-triple-accion-antiedad/16416879,20.014295925661184,True,no,Descripción adecuada
Protector Solar Anthelios UVMune 400 Oil Control Toque Seco con Color FPS 50+ 50ml,16434666,LA ROCHE POSAY,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,165,4.7212,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/16434666_01/w=800,h=800,fit=pad",119.9,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/16434666/Protector-Solar-Anthelios-UVMune-400-Oil-Control-Toque-Seco-con-Color-FPS-50+-50ml/16434666,0.0,True,no,Descripción adecuada
ISDIN FotoUltra Age Repair COLOR SPF50 50ML - Bloqueador solar facial con color y antiedad,18514777,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,138,4.7826,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18514777_1/w=800,h=800,fit=pad",109.9,139.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18514777/ISDIN-FotoUltra-Age-Repair-COLOR-SPF50-50ML-Bloqueador-solar-facial-con-color-y-antiedad/18514777,21.44388849177984,True,no,Descripción adecuada
Piscina Pro Rattan 3.66x1m,882131725,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,45,4.6222,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882131725_2/w=800,h=800,fit=pad",824.9,1649.9,falabella,https://www.falabella.com.pe/falabella-pe/product/882131725/Piscina-Pro-Rattan-3.66x1m/882131725,50.00303048669616,True,no,Descripción adecuada
Protector Solar Anthelios UVMune 400 Oil Control Toque Seco FPS 50+ 50ml,16434665,LA ROCHE POSAY,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,249,4.7108,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/16434665_01/w=800,h=800,fit=pad",119.9,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/16434665/Protector-Solar-Anthelios-UVMune-400-Oil-Control-Toque-Seco-FPS-50+-50ml/16434665,0.0,True,no,Descripción adecuada
Protector Solar Anthelios UVMune 400 Fluido Invisible FPS 50+ 50ml,18788064,LA ROCHE POSAY,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,109,4.7798,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18788064_1/w=800,h=800,fit=pad",121.9,121.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18788064/Protector-Solar-Anthelios-UVMune-400-Fluido-Invisible-FPS-50+-50ml/18788064,0.0,True,no,Descripción adecuada
Hawaiian Tropic Protector Solar Sheer Touch Fps50+ 120ml,19982987,HAWAIIAN TROPIC,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,109,4.7248,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19982987_01/w=800,h=800,fit=pad",26.9,40.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19982987/Hawaiian-Tropic-Protector-Solar-Sheer-Touch-Fps50+-120ml/19982987,34.229828850855746,True,no,Descripción adecuada
